Year,Author,Journal ,Title,Article Definition,Procedural Definition Coder 1,Process Definintion Coder 1,Unsure Coder 1,Procedural Definition Coder 2,Process Definintion Coder 2,Unsure Coder 2,Include,Notes
2015,"Sweeney, Mary M; Shahan, Timothy A",Behavioural Processes,"Renewal, resurgence, and alternative reinforcement context.","Operant relapse can also occur when alternative reinforcement introduced during extinction is removed, a phenomenon called resurgence.",,1,,,1,,1,
2016,"Bouton, Mark E; Trask, Sydney",Learning & Behavior,Role of the discriminative properties of the reinforcer in resurgence.,"Resurgence is the return of an extinguished operant behavior that occurs when reinforcement for an alternative, second be havior that has replaced it is discontinued.",,1,,,1,,1,
2016,"Craig, Andrew R; Nall, Rusty W; Madden, Gregory J; Shahan, Timothy A",Behavioural Brain Research,Higher rate alternative non-drug reinforcement produces faster suppression of cocaine seeking but more resurgence when removed.,Relapse following omission of an alternative source of reinforcement is termed resurgence ,,1,,,1,,1,
2016,"Craig, Andrew R; Shahan, Timothy A",Journal of the Experimental Analysis of Behavior,Behavioral momentum theory fails to account for the effects of reinforcement rate on resurgence.,Behavior that is extinguished in the presence of an alternative source of reinforcementoften recurs once alternative reinforcement is discontinued.  This form of relapse is termed resurgence,,1,,,1,,1,
2016,"King, J. E., & Hayes, L. J.",The Psychological Record,The role of discriminative stimuli on response patterns in resurgence,Resurgence is generally held as a behavioral effect that involves the recurrence of a previously reinforced response when a more recently reinforced alternative response undergoes changes in the operant contingency,,1,,,1,,1,
2016,"Kuroda, Toshikazu; Cançado, Carlos R.X.; Podlesnik, Christopher A.",Behavioural Processes,Resistance to change and resurgence in humans engaging in a computer task,"In one type of relapse, resurgence, a target response is reinforced in Phase 1. Phase 2 extinguishes target responding and reinforces an alternative response. In Phase 3, the alternative response also is extinguished, and the target response commonly recurs.",1,,,1,,,1,Primarly a procedural definition; yet the process is also described with referennce to Phase 3
2016,"Nevin, John A; Mace, F Charles; DeLeon, Iser G; Shahan, Timothy A; Shamlian, Kenneth D; Lit, Keith; Sheehan, Tara; Frank-Crawford, Michelle A; Trauschke, Stephanie L; Sweeney, Mary M; Tarver, Danielle R; Craig, Andrew R",Journal of the Experimental Analysis of Behavior,Effects of signaled and unsignaled alternative reinforcement on persistence and relapse in children and pigeons.,"Resurgence of problem behavior when alternative reinforcement is discontinued, and reinstatement when reinforcers that had been identified  earlier  as  maintaining  problem behavior are reintroduced, either independent  of  or  dependent  upon  that  behavior",,1,,,1,,1,
2016,"Sweeney, Mary M; Shahan, Timothy A",Behavioural Processes,Resurgence of target responding does not exceed increases in inactive responding in a forced-choice alternative reinforcement procedure in humans.,"In operant conditioning, relapse following the removal of alternative reinforcement is called resurgence",,1,,,1,,1,
2016,"Trask, Sydney; Bouton, Mark E",Learning & Behavior,"""Discriminative properties of the reinforcer can be used to attenuate the renewal of extinguished operant behavior""","Although there are several accounts of resurgence it has been suggested that resurgence is a special case of the renewal effect, in which the removal of reinforcers creates the contextual change necessary to produce relapse",,1,,,1,,1,
2016,"Wilson, Alyssa N; Glassford, Tyler S; Koerkenmeier, Sarah M",Behavior Analysis in Practice,Effects of Response Effort on Resurgence.,Resurgence has been defined as the recurrence of a previously reinforced operant placed on extinction when a second alternative operant is placed on extinction,,1,,,1,,1,
